WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
   PassPhysDecl            -inf            +inf               -               -          16227.67             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassBeamScraping          0.0000          1.0000               -               -          16227.67             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassPrimaryVertex          0.0000          1.0000               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassHBHENoiseFilter            -inf            +inf               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
        PassHLT            -inf            +inf               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
       nEle_all            -inf            +inf               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
     nEle_PtCut            -inf            +inf               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -            123.17              5.96         7.6e-03         3.7e-04         3.5e-03         1.7e-04
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
        Mee_PAS            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
      sTele_PAS            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
       nJet_PAS            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
       nJet_all            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
     nJet_PtCut            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
nJet_PtCut_noOvrlp            -inf            +inf               -               -            123.17              5.96         1.0e+00         6.8e-02         3.5e-03         1.7e-04
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              5.78              1.29         4.7e-02         1.1e-02         1.6e-04         3.6e-05
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -              5.78              1.29         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              5.78              1.29         1.0e+00         3.2e-01         1.6e-04         3.6e-05
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              5.78              1.29         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -              5.78              1.29         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              5.78              1.29         1.0e+00         3.2e-01         1.6e-04         3.6e-05
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              5.49              1.26         9.5e-01         3.0e-01         1.5e-04         3.5e-05
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
minDRej_selecPairs          0.7000            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
minDRej_unselPairs          0.7000            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
   Pt1stJet_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
  Eta1stJet_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
   Pt2ndJet_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
  Eta2ndJet_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
         sT_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
Mej_1stPair_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
Mej_2ndPair_PAS            -inf            +inf               -               -              5.49              1.26         1.0e+00         3.2e-01         1.5e-04         3.5e-05
            Mee        100.0000            +inf               -               -              2.89              0.91         5.3e-01         2.1e-01         8.1e-05         2.6e-05
             sT        280.0000            +inf               -               -              1.16              0.58         4.0e-01         2.4e-01         3.3e-05         1.6e-05
   minDeltaR_ej            -inf            +inf               -               -              1.16              0.58         1.0e+00         7.1e-01         3.3e-05         1.6e-05
   maxDeltaR_ej            -inf            +inf               -               -              1.16              0.58         1.0e+00         7.1e-01         3.3e-05         1.6e-05
    Mej_1stPair            -inf            +inf               -               -              1.16              0.58         1.0e+00         7.1e-01         3.3e-05         1.6e-05
    Mej_2ndPair            -inf            +inf               -               -              1.16              0.58         1.0e+00         7.1e-01         3.3e-05         1.6e-05


QCDPt15
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -   724512256000.00              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -     4398101295.25       22618794.45         6.1e-03         3.1e-05         6.1e-03         3.1e-05
      PassBPTX0          0.0000          1.0000               -               -     4398101295.25       22618794.45         1.0e+00         7.3e-03         6.1e-03         3.1e-05
   PassPhysDecl            -inf            +inf               -               -     4398101295.25       22618794.45         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassBeamScraping          0.0000          1.0000               -               -     4398101295.25       22618794.45         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassPrimaryVertex          0.0000          1.0000               -               -     4396462789.22       22614628.51         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassHBHENoiseFilter            -inf            +inf               -               -     4396462789.22       22614628.51         1.0e+00         7.3e-03         6.1e-03         3.1e-05
        PassHLT            -inf            +inf               -               -     4396462789.22       22614628.51         1.0e+00         7.3e-03         6.1e-03         3.1e-05
       nEle_all            -inf            +inf               -               -     4396462789.22       22614628.51         1.0e+00         7.3e-03         6.1e-03         3.1e-05
     nEle_PtCut            -inf            +inf               -               -     4396462789.22       22614628.51         1.0e+00         7.3e-03         6.1e-03         3.1e-05
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
        Mee_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
      sTele_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
       nJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
       nJet_all            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
     nJet_PtCut            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
minDRej_selecPairs          0.7000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
