WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -        7120130.83              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -        3376141.05           1624.27         4.7e-01         2.3e-04         4.7e-01         2.3e-04
      PassBPTX0          0.0000          1.0000               -               -        3376141.05           1624.27         1.0e+00         6.8e-04         4.7e-01         2.3e-04
   PassPhysDecl            -inf            +inf               -               -        3376141.05           1624.27         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassBeamScraping          0.0000          1.0000               -               -        3376136.23           1624.27         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassPrimaryVertex          0.0000          1.0000               -               -        3364316.11           1623.78         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassHBHENoiseFilter            -inf            +inf               -               -        3364316.11           1623.78         1.0e+00         6.8e-04         4.7e-01         2.3e-04
        PassHLT          0.0000          1.0000               -               -        1733633.43           1381.98         5.2e-01         4.8e-04         2.4e-01         1.9e-04
       nEle_all            -inf            +inf               -               -        1733633.43           1381.98         1.0e+00         1.1e-03         2.4e-01         1.9e-04
     nEle_PtCut            -inf            +inf               -               -        1733633.43           1381.98         1.0e+00         1.1e-03         2.4e-01         1.9e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -             92.31             10.07         5.3e-05         5.8e-06         1.3e-05         1.4e-06
Pt1stEle_IDISO_NoOvrlp         25.0000            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
Pt2ndEle_IDISO_NoOvrlp         25.0000            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
        Mee_PAS            -inf            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
      sTele_PAS            -inf            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
       nJet_PAS            -inf            +inf               -               -             92.31             10.07         1.0e+00         1.5e-01         1.3e-05         1.4e-06
   Pt1stJet_PAS            -inf            +inf               -               -             73.13              8.58         7.9e-01         1.3e-01         1.0e-05         1.2e-06
  Eta1stJet_PAS            -inf            +inf               -               -             73.13              8.58         1.0e+00         1.7e-01         1.0e-05         1.2e-06
   Pt2ndJet_PAS            -inf            +inf               -               -             40.69              5.71         5.6e-01         1.0e-01         5.7e-06         8.0e-07
  Eta2ndJet_PAS            -inf            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
       nJet_all            -inf            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
     nJet_PtCut            -inf            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
nJet_PtCut_noOvrlp            -inf            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
Pt1stJet_noOvrlp_ID         10.0000            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -             40.69              5.71         1.0e+00         2.0e-01         5.7e-06         8.0e-07
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -             39.57              5.68         9.7e-01         2.0e-01         5.6e-06         8.0e-07
Pt2ndJet_noOvrlp_ID         10.0000            +inf               -               -             39.57              5.68         1.0e+00         2.0e-01         5.6e-06         8.0e-07
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -             39.57              5.68         1.0e+00         2.0e-01         5.6e-06         8.0e-07
