WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -        7120130.83              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -        3376141.05           1624.26         4.7e-01         2.3e-04         4.7e-01         2.3e-04
      PassBPTX0          0.0000          1.0000               -               -        3376141.05           1624.26         1.0e+00         6.8e-04         4.7e-01         2.3e-04
   PassPhysDecl            -inf            +inf               -               -        3376141.05           1624.26         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassBeamScraping          0.0000          1.0000               -               -        3376136.23           1624.26         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassPrimaryVertex          0.0000          1.0000               -               -        3364316.11           1623.78         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassHBHENoiseFilter            -inf            +inf               -               -        3364316.11           1623.78         1.0e+00         6.8e-04         4.7e-01         2.3e-04
        PassHLT          0.0000          1.0000               -               -        1733633.43           1381.98         5.2e-01         4.8e-04         2.4e-01         1.9e-04
       nEle_all            -inf            +inf               -               -        1733633.43           1381.98         1.0e+00         1.1e-03         2.4e-01         1.9e-04
     nEle_PtCut            -inf            +inf               -               -        1733633.43           1381.98         1.0e+00         1.1e-03         2.4e-01         1.9e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -             46.77              6.85         2.7e-05         3.9e-06         6.6e-06         9.6e-07
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
        Mee_PAS            -inf            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
      sTele_PAS            -inf            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
       nJet_PAS            -inf            +inf               -               -             46.77              6.85         1.0e+00         2.1e-01         6.6e-06         9.6e-07
   Pt1stJet_PAS            -inf            +inf               -               -             19.96              3.59         4.3e-01         9.9e-02         2.8e-06         5.0e-07
  Eta1stJet_PAS            -inf            +inf               -               -             19.96              3.59         1.0e+00         2.5e-01         2.8e-06         5.0e-07
   Pt2ndJet_PAS            -inf            +inf               -               -              6.22              1.22         3.1e-01         8.3e-02         8.7e-07         1.7e-07
  Eta2ndJet_PAS            -inf            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
       nJet_all            -inf            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
     nJet_PtCut            -inf            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
nJet_PtCut_noOvrlp            -inf            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              6.22              1.22         1.0e+00         2.8e-01         8.7e-07         1.7e-07
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              6.09              1.21         9.8e-01         2.7e-01         8.5e-07         1.7e-07
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              6.09              1.21         1.0e+00         2.8e-01         8.5e-07         1.7e-07
         sT_PAS            -inf            +inf               -               -              6.09              1.21         1.0e+00         2.8e-01         8.5e-07         1.7e-07
            Mee        100.0000            +inf               -               -              3.31              0.89         5.4e-01         1.8e-01         4.6e-07         1.2e-07
             sT        300.0000            +inf               -               -              1.09              0.49         3.3e-01         1.7e-01         1.5e-07         6.9e-08
    Mej_1stPair            -inf            +inf               -               -              1.09              0.49         1.0e+00         6.3e-01         1.5e-07         6.9e-08
    Mej_2ndPair            -inf            +inf               -               -              1.09              0.49         1.0e+00         6.3e-01         1.5e-07         6.9e-08


WW
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -          10915.55              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -           4981.85             15.50         4.6e-01         1.4e-03         4.6e-01         1.4e-03
      PassBPTX0          0.0000          1.0000               -               -           4981.85             15.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
   PassPhysDecl            -inf            +inf               -               -           4981.85             15.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassBeamScraping          0.0000          1.0000               -               -           4981.85             15.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassPrimaryVertex          0.0000          1.0000               -               -           4979.19             15.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassHBHENoiseFilter            -inf            +inf               -               -           4979.19             15.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
        PassHLT          0.0000          1.0000               -               -           3393.69             14.41         6.8e-01         3.6e-03         3.1e-01         1.3e-03
       nEle_all            -inf            +inf               -               -           3393.69             14.41         1.0e+00         6.0e-03         3.1e-01         1.3e-03
     nEle_PtCut            -inf            +inf               -               -           3393.69             14.41         1.0e+00         6.0e-03         3.1e-01         1.3e-03
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -             37.28              1.82         1.1e-02         5.4e-04         3.4e-03         1.7e-04
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
        Mee_PAS            -inf            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
      sTele_PAS            -inf            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
       nJet_PAS            -inf            +inf               -               -             37.28              1.82         1.0e+00         6.9e-02         3.4e-03         1.7e-04
   Pt1stJet_PAS            -inf            +inf               -               -              9.68              0.93         2.6e-01         2.8e-02         8.9e-04         8.5e-05
  Eta1stJet_PAS            -inf            +inf               -               -              9.68              0.93         1.0e+00         1.4e-01         8.9e-04         8.5e-05
   Pt2ndJet_PAS            -inf            +inf               -               -              1.77              0.40         1.8e-01         4.5e-02         1.6e-04         3.6e-05
  Eta2ndJet_PAS            -inf            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
       nJet_all            -inf            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
     nJet_PtCut            -inf            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
nJet_PtCut_noOvrlp            -inf            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              1.77              0.40         1.0e+00         3.2e-01         1.6e-04         3.6e-05
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              1.69              0.39         9.5e-01         3.0e-01         1.5e-04         3.5e-05
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              1.69              0.39         1.0e+00         3.2e-01         1.5e-04         3.5e-05
         sT_PAS            -inf            +inf               -               -              1.69              0.39         1.0e+00         3.2e-01         1.5e-04         3.5e-05
            Mee        100.0000            +inf               -               -              0.89              0.28         5.3e-01         2.1e-01         8.1e-05         2.6e-05
             sT        300.0000            +inf               -               -              0.35              0.18         4.0e-01         2.4e-01         3.3e-05         1.6e-05
    Mej_1stPair            -inf            +inf               -               -              0.35              0.18         1.0e+00         7.1e-01         3.3e-05         1.6e-05
    Mej_2ndPair            -inf            +inf               -               -              0.35              0.18         1.0e+00         7.1e-01         3.3e-05         1.6e-05


QCDPt15
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -   222423370000.00              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -     1350205608.79        6943924.16         6.1e-03         3.1e-05         6.1e-03         3.1e-05
      PassBPTX0          0.0000          1.0000               -               -     1350205608.79        6943924.16         1.0e+00         7.3e-03         6.1e-03         3.1e-05
   PassPhysDecl            -inf            +inf               -               -     1350205608.79        6943924.16         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassBeamScraping          0.0000          1.0000               -               -     1350205608.79        6943924.16         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassPrimaryVertex          0.0000          1.0000               -               -     1349702591.72        6942629.65         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassHBHENoiseFilter            -inf            +inf               -               -     1349702591.72        6942629.65         1.0e+00         7.3e-03         6.1e-03         3.1e-05
        PassHLT          0.0000          1.0000               -               -      802455947.92        5359840.49         5.9e-01         5.0e-03         3.6e-03         2.4e-05
       nEle_all            -inf            +inf               -               -      802455947.92        5359840.49         1.0e+00         9.4e-03         3.6e-03         2.4e-05
     nEle_PtCut            -inf            +inf               -               -      802455947.92        5359840.49         1.0e+00         9.4e-03         3.6e-03         2.4e-05
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
        Mee_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
      sTele_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
       nJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   Pt1stJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
  Eta1stJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   Pt2ndJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
  Eta2ndJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
       nJet_all            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
     nJet_PtCut            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
         sT_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
            Mee        100.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
             sT        300.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
    Mej_1stPair            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
    Mej_2ndPair            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00


TTbar_Madgraph
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -          41885.25              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -          29085.75             15.84         6.9e-01         3.8e-04         6.9e-01         3.8e-04
      PassBPTX0          0.0000          1.0000               -               -          29085.75             15.84         1.0e+00         7.7e-04         6.9e-01         3.8e-04
   PassPhysDecl            -inf            +inf               -               -          29085.75             15.84         1.0e+00         7.7e-04         6.9e-01         3.8e-04
PassBeamScraping          0.0000          1.0000               -               -          29085.15             15.84         1.0e+00         7.7e-04         6.9e-01         3.8e-04
PassPrimaryVertex          0.0000          1.0000               -               -          29071.69             15.85         1.0e+00         7.7e-04         6.9e-01         3.8e-04
PassHBHENoiseFilter            -inf            +inf               -               -          29071.69             15.85         1.0e+00         7.7e-04         6.9e-01         3.8e-04
        PassHLT          0.0000          1.0000               -               -          24504.92             16.94         8.4e-01         7.4e-04         5.9e-01         4.0e-04
       nEle_all            -inf            +inf               -               -          24504.92             16.94         1.0e+00         9.8e-04         5.9e-01         4.0e-04
     nEle_PtCut            -inf            +inf               -               -          24504.92             16.94         1.0e+00         9.8e-04         5.9e-01         4.0e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -            170.69              2.19         7.0e-03         9.0e-05         4.1e-03         5.2e-05
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -            170.69              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -            170.69              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -            170.69              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -            170.69              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -            170.69              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -            170.60              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -            170.60              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
        Mee_PAS            -inf            +inf               -               -            170.60              2.19         1.0e+00         1.8e-02         4.1e-03         5.2e-05
