ZJetMadgraph
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
            Eta2ndJet_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
                  Mjj_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
                sTjet_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
                   sT_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
          Mej_1stPair_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
          Mej_2ndPair_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
                pfMET_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
                tcMET_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
              caloMET_PAS            -inf            +inf               -               -        62586.0368         2415.3900          1.0000      5.4579e-02      6.1848e-04      2.3869e-05
                      Mee        125.0000            +inf               -               -         2611.6379          493.5313      4.1729e-02      8.0484e-03      2.5808e-05      4.8771e-06
                       sT            -inf            +inf               -               -         2611.6379          493.5313          1.0000          0.2672      2.5808e-05      4.8771e-06
                sT_MLQ150        260.0000            +inf               -               -         2518.3651          484.6465          0.9643          0.2601      2.4887e-05      4.7893e-06
                sT_MLQ200        340.0000            +inf               -               -         1212.5462          336.2866          0.4815          0.1625      1.1982e-05      3.3232e-06
                sT_MLQ250        400.0000            +inf               -               -          652.9095          246.7707          0.5385          0.2524      6.4521e-06      2.4386e-06
                sT_MLQ280        450.0000            +inf               -               -          652.9095          246.7707          1.0000          0.5345      6.4521e-06      2.4386e-06
                sT_MLQ300        470.0000            +inf               -               -          559.6367          228.4648          0.8571          0.4769      5.5304e-06      2.2577e-06
             minDeltaR_ej            -inf            +inf               -               -          559.6367          228.4648          1.0000          0.5773      5.5304e-06      2.2577e-06
             maxDeltaR_ej            -inf            +inf               -               -          559.6367          228.4648          1.0000          0.5773      5.5304e-06      2.2577e-06
              Mej_1stPair            -inf            +inf               -               -          559.6367          228.4648          1.0000          0.5773      5.5304e-06      2.2577e-06
              Mej_2ndPair            -inf            +inf               -               -          559.6367          228.4648          1.0000          0.5773      5.5304e-06      2.2577e-06
                sT_MLQ320        490.0000            +inf               -               -          373.0911          186.5403          0.6667          0.4303      3.6869e-06      1.8434e-06
                sT_MLQ340        510.0000            +inf               -               -          279.8183          161.5455          0.7500          0.5728      2.7652e-06      1.5964e-06
                sT_MLQ370        540.0000            +inf               -               -          186.5456          131.9059          0.6667          0.6086      1.8435e-06      1.3035e-06
                sT_MLQ400        560.0000            +inf               -               -           93.2728           93.2701          0.5000          0.6124      9.2173e-07      9.2170e-07
                sT_MLQ450        620.0000            +inf               -               -           93.2728           93.2701          1.0000          1.4142      9.2173e-07      9.2170e-07
                sT_MLQ500        660.0000            +inf               -               -           93.2728           93.2701          1.0000          1.4142      9.2173e-07      9.2170e-07


WJetAlpgen
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
                    nocut               -               -               -               -   1039608941.6517        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
                     skim               -               -               -               -    492949725.2563       237159.6115          0.4742      2.2812e-04          0.4742      2.2812e-04
                PassBPTX0          0.0000          1.0000               -               -    492949725.2563       237159.6115          1.0000      6.8038e-04          0.4742      2.2812e-04
             PassPhysDecl            -inf            +inf               -               -    492949725.2563       237159.6115          1.0000      6.8038e-04          0.4742      2.2812e-04
         PassBeamScraping          0.0000          1.0000               -               -    492949020.3858       237159.6191          1.0000      6.8038e-04          0.4742      2.2812e-04
        PassPrimaryVertex          0.0000          1.0000               -               -    491223167.3722       237084.0964          0.9965      6.7908e-04          0.4725      2.2805e-04
                  PassHLT            -inf            +inf               -               -    491223167.3722       237084.0964          1.0000      6.8256e-04          0.4725      2.2805e-04
                 nEle_all            -inf            +inf               -               -    491223167.3722       237084.0964          1.0000      6.8256e-04          0.4725      2.2805e-04
               nEle_PtCut            -inf            +inf               -               -    491223167.3722       237084.0964          1.0000      6.8256e-04          0.4725      2.2805e-04
 nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -         6828.4870          999.6112      1.3901e-05      2.0350e-06      6.5683e-06      9.6153e-07
   Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
  Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
 mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
   Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
  Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
 mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
 maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -         6828.4870          999.6112          1.0000          0.2070      6.5683e-06      9.6153e-07
               Mee_presel         50.0000            +inf               -               -         6662.7035          997.8925          0.9757          0.2043      6.4089e-06      9.5987e-07
           Mee_TwoEleOnly            -inf            +inf               -               -         6662.7035          997.8925          1.0000          0.2118      6.4089e-06      9.5987e-07
      nJet_TwoEleOnly_All            -inf            +inf               -               -         6662.7035          997.8925          1.0000          0.2118      6.4089e-06      9.5987e-07
   nJet_TwoEleOnly_EtaCut            -inf            +inf               -               -         6662.7035          997.8925          1.0000          0.2118      6.4089e-06      9.5987e-07
                 nJet_all            -inf            +inf               -               -         6662.7035          997.8925          1.0000          0.2118      6.4089e-06      9.5987e-07
               nJet_PtCut            -inf            +inf               -               -         6662.7035          997.8925          1.0000          0.2118      6.4089e-06      9.5987e-07
       nJet_PtCut_noOvrlp            -inf            +inf               -               -         6662.7035          997.8925          1.0000          0.2118      6.4089e-06      9.5987e-07
    nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -          866.6020          176.0048          0.1301      3.2823e-02      8.3358e-07      1.6930e-07
      Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -          866.6020          176.0048          1.0000          0.2872      8.3358e-07      1.6930e-07
     Eta1stJet_noOvrlp_ID            -inf            +inf               -               -          866.6020          176.0048          1.0000          0.2872      8.3358e-07      1.6930e-07
    mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -          866.6020          176.0048          1.0000          0.2872      8.3358e-07      1.6930e-07
