WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
   PassPhysDecl            -inf            +inf               -               -             16.23              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassBeamScraping          0.0000          1.0000               -               -             16.23              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassPrimaryVertex          0.0000          1.0000               -               -             16.22              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassHBHENoiseFilter            -inf            +inf               -               -             16.22              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
        PassHLT            -inf            +inf               -               -             16.22              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
       nEle_all            -inf            +inf               -               -             16.22              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
     nEle_PtCut            -inf            +inf               -               -             16.22              0.05         1.0e+00         4.4e-03         4.6e-01         1.4e-03
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.16              0.01         1.0e-02         4.3e-04         4.6e-03         2.0e-04
Pt1stEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
Pt2ndEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
        Mee_PAS            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
      sTele_PAS            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
       nJet_PAS            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
       nJet_all            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
     nJet_PtCut            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.16              0.01         1.0e+00         6.0e-02         4.6e-03         2.0e-04
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.02              0.00         1.3e-01         1.3e-02         5.9e-04         5.6e-05
Pt1stJet_noOvrlp_ID         20.0000            +inf               -               -              0.02              0.00         1.0e+00         1.3e-01         5.9e-04         5.6e-05
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.3e-01         5.9e-04         5.6e-05
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.02              0.00         1.0e+00         1.3e-01         5.9e-04         5.6e-05
Pt2ndJet_noOvrlp_ID         20.0000            +inf               -               -              0.02              0.00         1.0e+00         1.3e-01         5.9e-04         5.6e-05
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.3e-01         5.9e-04         5.6e-05
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              0.02              0.00         9.5e-01         1.3e-01         5.6e-04         5.6e-05
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.4e-01         5.6e-04         5.6e-05
minDRej_selecPairs          0.7000            +inf               -               -              0.02              0.00         9.5e-01         1.4e-01         5.3e-04         5.6e-05
minDRej_unselPairs          0.7000            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
   Pt1stJet_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
  Eta1stJet_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
   Pt2ndJet_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
  Eta2ndJet_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
         sT_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
Mej_1stPair_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
Mej_2ndPair_PAS            -inf            +inf               -               -              0.02              0.00         1.0e+00         1.5e-01         5.3e-04         5.6e-05
            Mee        100.0000            +inf               -               -              0.01              0.00         5.3e-01         1.2e-01         2.8e-04         5.6e-05
             sT        280.0000            +inf               -               -              0.00              0.00         3.0e-01         1.2e-01         8.4e-05         2.8e-05
   minDeltaR_ej            -inf            +inf               -               -              0.00              0.00         1.0e+00         4.7e-01         8.4e-05         2.8e-05
   maxDeltaR_ej            -inf            +inf               -               -              0.00              0.00         1.0e+00         4.7e-01         8.4e-05         2.8e-05
    Mej_1stPair            -inf            +inf               -               -              0.00              0.00         1.0e+00         4.7e-01         8.4e-05         2.8e-05
    Mej_2ndPair            -inf            +inf               -               -              0.00              0.00         1.0e+00         4.7e-01         8.4e-05         2.8e-05


QCDPt15
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -      724512256.00              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -        4398101.29          22618.79         6.1e-03         3.1e-05         6.1e-03         3.1e-05
      PassBPTX0          0.0000          1.0000               -               -        4398101.29          22618.79         1.0e+00         7.3e-03         6.1e-03         3.1e-05
   PassPhysDecl            -inf            +inf               -               -        4398101.29          22618.79         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassBeamScraping          0.0000          1.0000               -               -        4398101.29          22618.79         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassPrimaryVertex          0.0000          1.0000               -               -        4396462.79          22614.63         1.0e+00         7.3e-03         6.1e-03         3.1e-05
PassHBHENoiseFilter            -inf            +inf               -               -        4396462.79          22614.63         1.0e+00         7.3e-03         6.1e-03         3.1e-05
        PassHLT            -inf            +inf               -               -        4396462.79          22614.63         1.0e+00         7.3e-03         6.1e-03         3.1e-05
       nEle_all            -inf            +inf               -               -        4396462.79          22614.63         1.0e+00         7.3e-03         6.1e-03         3.1e-05
     nEle_PtCut            -inf            +inf               -               -        4396462.79          22614.63         1.0e+00         7.3e-03         6.1e-03         3.1e-05
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt1stEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt2ndEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
        Mee_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
      sTele_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
       nJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
       nJet_all            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
     nJet_PtCut            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt1stJet_noOvrlp_ID         20.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Pt2ndJet_noOvrlp_ID         20.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
minDRej_selecPairs          0.7000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
minDRej_unselPairs          0.7000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   Pt1stJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
  Eta1stJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   Pt2ndJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
  Eta2ndJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
         sT_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Mej_1stPair_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Mej_2ndPair_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
            Mee        100.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
             sT        280.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   minDeltaR_ej            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   maxDeltaR_ej            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
    Mej_1stPair            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
    Mej_2ndPair            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00


TTbar_Madgraph
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -            136.44              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -             94.74              0.05         6.9e-01         3.8e-04         6.9e-01         3.8e-04
      PassBPTX0          0.0000          1.0000               -               -             94.74              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
   PassPhysDecl            -inf            +inf               -               -             94.74              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
PassBeamScraping          0.0000          1.0000               -               -             94.74              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
PassPrimaryVertex          0.0000          1.0000               -               -             94.70              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
PassHBHENoiseFilter            -inf            +inf               -               -             94.70              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
        PassHLT            -inf            +inf               -               -             94.70              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
       nEle_all            -inf            +inf               -               -             94.70              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
     nEle_PtCut            -inf            +inf               -               -             94.70              0.05         1.0e+00         7.8e-04         6.9e-01         3.8e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.71              0.01         7.5e-03         8.5e-05         5.2e-03         5.9e-05
Pt1stEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
Pt2ndEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
        Mee_PAS            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
      sTele_PAS            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
       nJet_PAS            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
       nJet_all            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
     nJet_PtCut            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.71              0.01         1.0e+00         1.6e-02         5.2e-03         5.9e-05
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.65              0.01         9.1e-01         1.5e-02         4.7e-03         5.9e-05
