ZJetMadgraph
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
                    nocut               -               -               -               -     33223200.0000        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
                     skim               -               -               -               -     21410129.6673        15268.0538          0.6444      4.5956e-04          0.6444      4.5956e-04
                PassBPTX0          0.0000          1.0000               -               -     21410129.6673        15268.0538          1.0000      1.0085e-03          0.6444      4.5956e-04
             PassPhysDecl            -inf            +inf               -               -     21410129.6673        15268.0538          1.0000      1.0085e-03          0.6444      4.5956e-04
         PassBeamScraping          0.0000          1.0000               -               -     21410099.0446        15268.0538          1.0000      1.0085e-03          0.6444      4.5956e-04
        PassPrimaryVertex          0.0000          1.0000               -               -     21365022.4442        15281.0108          0.9979      1.0079e-03          0.6431      4.5995e-04
                  PassHLT            -inf            +inf               -               -     21365022.4442        15281.0108          1.0000      1.0115e-03          0.6431      4.5995e-04
                 nEle_all            -inf            +inf               -               -     21365022.4442        15281.0108          1.0000      1.0115e-03          0.6431      4.5995e-04
               nEle_PtCut            -inf            +inf               -               -     21365022.4442        15281.0108          1.0000      1.0115e-03          0.6431      4.5995e-04
 nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -      2847052.7812         8928.0705          0.1333      4.2861e-04      8.5695e-02      2.6873e-04
   Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -      2847052.7812         8928.0705          1.0000      4.4348e-03      8.5695e-02      2.6873e-04
  Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -      2847052.7812         8928.0705          1.0000      4.4348e-03      8.5695e-02      2.6873e-04
 mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -      2844664.2113         8924.7482          0.9992      4.4321e-03      8.5623e-02      2.6863e-04
   Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -      2844664.2113         8924.7482          1.0000      4.4369e-03      8.5623e-02      2.6863e-04
  Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -      2844664.2113         8924.7482          1.0000      4.4369e-03      8.5623e-02      2.6863e-04
 mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -      2842367.5095         8921.4259          0.9992      4.4343e-03      8.5554e-02      2.6853e-04
 maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -      2842367.5095         8921.4259          1.0000      4.4388e-03      8.5554e-02      2.6853e-04
               Mee_presel         50.0000            +inf               -               -      2842153.1507         8921.0937          0.9999      4.4386e-03      8.5547e-02      2.6852e-04
           Mee_TwoEleOnly            -inf            +inf               -               -      2842153.1507         8921.0937          1.0000      4.4390e-03      8.5547e-02      2.6852e-04
      nJet_TwoEleOnly_All            -inf            +inf               -               -      2842153.1507         8921.0937          1.0000      4.4390e-03      8.5547e-02      2.6852e-04
   nJet_TwoEleOnly_EtaCut            -inf            +inf               -               -      2842153.1507         8921.0937          1.0000      4.4390e-03      8.5547e-02      2.6852e-04
                 nJet_all            -inf            +inf               -               -      2842153.1507         8921.0937          1.0000      4.4390e-03      8.5547e-02      2.6852e-04
               nJet_PtCut            -inf            +inf               -               -      2842153.1507         8921.0937          1.0000      4.4390e-03      8.5547e-02      2.6852e-04
       nJet_PtCut_noOvrlp            -inf            +inf               -               -      2842153.1507         8921.0937          1.0000      4.4390e-03      8.5547e-02      2.6852e-04
    nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -        72392.0403         1487.2698      2.5471e-02      5.2936e-04      2.1790e-03      4.4766e-05
      Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -        72392.0403         1487.2698          1.0000      2.9055e-02      2.1790e-03      4.4766e-05
     Eta1stJet_noOvrlp_ID            -inf            +inf               -               -        72392.0403         1487.2698          1.0000      2.9055e-02      2.1790e-03      4.4766e-05
    mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -        70248.4520         1465.1431          0.9704      2.8409e-02      2.1144e-03      4.4100e-05
      Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -        70248.4520         1465.1431          1.0000      2.9496e-02      2.1144e-03      4.4100e-05
     Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -        70248.4520         1465.1431          1.0000      2.9496e-02      2.1144e-03      4.4100e-05
    mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -        67247.4283         1433.5811          0.9573      2.8550e-02      2.0241e-03      4.3150e-05
   maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -        67247.4283         1433.5811          1.0000      3.0148e-02      2.0241e-03      4.3150e-05
       minDRej_selecPairs          0.7000            +inf               -               -        66145.0115         1421.7868          0.9836      2.9777e-02      1.9909e-03      4.2795e-05
       minDRej_unselPairs          0.7000            +inf               -               -        63603.3282         1394.2448          0.9616      2.9521e-02      1.9144e-03      4.1966e-05
             nJet_PAS_All            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
          nJet_PAS_EtaCut            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
             Pt1stEle_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
            Eta1stEle_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
             Pt2ndEle_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
            Eta2ndEle_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                  Mee_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                sTele_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
             Pt1stJet_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
            Eta1stJet_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
             Pt2ndJet_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
            Eta2ndJet_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                  Mjj_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                sTjet_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                   sT_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
          Mej_1stPair_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
          Mej_2ndPair_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                pfMET_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                tcMET_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
              caloMET_PAS            -inf            +inf               -               -        63603.3282         1394.2448          1.0000      3.1001e-02      1.9144e-03      4.1966e-05
                      Mee        110.0000            +inf               -               -         2143.5883          256.1941      3.3702e-02      4.0952e-03      6.4521e-05      7.7113e-06
                       sT            -inf            +inf               -               -         2143.5883          256.1941          1.0000          0.1690      6.4521e-05      7.7113e-06
                sT_MLQ250        394.0000            +inf               -               -          244.9815           86.6129          0.1143      4.2652e-02      7.3738e-06      2.6070e-06
                sT_MLQ280        422.0000            +inf               -               -          244.9815           86.6129          1.0000          0.5000      7.3738e-06      2.6070e-06
                sT_MLQ300        440.0000            +inf               -               -          244.9815           86.6129          1.0000          0.5000      7.3738e-06      2.6070e-06
             minDeltaR_ej            -inf            +inf               -               -          244.9815           86.6129          1.0000          0.5000      7.3738e-06      2.6070e-06
             maxDeltaR_ej            -inf            +inf               -               -          244.9815           86.6129          1.0000          0.5000      7.3738e-06      2.6070e-06
              Mej_1stPair            -inf            +inf               -               -          244.9815           86.6129          1.0000          0.5000      7.3738e-06      2.6070e-06
              Mej_2ndPair            -inf            +inf               -               -          244.9815           86.6129          1.0000          0.5000      7.3738e-06      2.6070e-06
                sT_MLQ320        457.0000            +inf               -               -          214.3588           81.0181          0.8750          0.4528      6.4521e-06      2.4386e-06
                sT_MLQ340        473.0000            +inf               -               -          214.3588           81.0181          1.0000          0.5345      6.4521e-06      2.4386e-06
                sT_MLQ400        520.0000            +inf               -               -           91.8681           53.0375          0.4286          0.2957      2.7652e-06      1.5964e-06


WJetAlpgen
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
                    nocut               -               -               -               -    341317393.4941        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
                     skim               -               -               -               -    161841927.8703        77862.6435          0.4742      2.2812e-04          0.4742      2.2812e-04
                PassBPTX0          0.0000          1.0000               -               -    161841927.8703        77862.6435          1.0000      6.8038e-04          0.4742      2.2812e-04
             PassPhysDecl            -inf            +inf               -               -    161841927.8703        77862.6435          1.0000      6.8038e-04          0.4742      2.2812e-04
         PassBeamScraping          0.0000          1.0000               -               -    161841696.4520        77862.6460          1.0000      6.8038e-04          0.4742      2.2812e-04
        PassPrimaryVertex          0.0000          1.0000               -               -    161275076.0348        77837.8509          0.9965      6.7908e-04          0.4725      2.2805e-04
                  PassHLT            -inf            +inf               -               -    161275076.0348        77837.8509          1.0000      6.8256e-04          0.4725      2.2805e-04
                 nEle_all            -inf            +inf               -               -    161275076.0348        77837.8509          1.0000      6.8256e-04          0.4725      2.2805e-04
               nEle_PtCut            -inf            +inf               -               -    161275076.0348        77837.8509          1.0000      6.8256e-04          0.4725      2.2805e-04
 nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -         2241.8828          328.1856      1.3901e-05      2.0350e-06      6.5683e-06      9.6153e-07
   Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -         2241.8828          328.1856          1.0000          0.2070      6.5683e-06      9.6153e-07
  Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -         2241.8828          328.1856          1.0000          0.2070      6.5683e-06      9.6153e-07
 mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -         2241.8828          328.1856          1.0000          0.2070      6.5683e-06      9.6153e-07
   Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -         2241.8828          328.1856          1.0000          0.2070      6.5683e-06      9.6153e-07
  Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -         2241.8828          328.1856          1.0000          0.2070      6.5683e-06      9.6153e-07
